Year,Ticker,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23
2018,C92,0.129793957052909,1,0,0,0.0305136682804635,0.533480275139698,0.00113552281849007,0.00235962913949877,0.140782478551845,0.0511940348736496,4.42102000349749,0.0261257411693359,0.589499345154908,0.0722569520369591,1.107795163491,0.721331342072233,2.32248661399534,5.99219484127909,0.00212851884391175,0.752305492902119,0.783256633962255,1.1503282097531,0.00523901994902269
2019,C92,0.106604916474284,0,0,1,0.0128938222211488,0.269710437395044,-0.015565662056054,-0.0178160515920975,0.0667338341263751,0.00631780277051613,4.35608313601608,-0.343825624421182,0.48542114693074,0.0642826308869033,0.429381202589732,1.29623306386439,1.53865122075331,3.79725236351806,-0.0577124942082055,0.786543472041125,0.806787330745428,1.14918477847662,-0.0805623260426317
2020,C92,0.122193024252941,1,0,0,0.0327947547954619,0.557211655226293,0.00449648758190705,0.00542842062472575,0.190746493213832,-0.025127667290938,4.2752573804566,0.0642019211995214,0.518892152091358,0.0366606153222792,0.971563025772925,0.643140079825712,3.24984091781811,10.2950747436994,0.00806962226962204,0.816044958885268,0.828071519203773,1.14032178530793,0.026153244425142
2021,C92,0.143351234965104,1,1,0,0.0227383843273646,0.534887226434714,0.00305445396751205,0.00404780262143408,0.125868157929853,0.130134996712991,4.18466304462968,0.0637582604334135,0.664892058596762,0.172112567463377,1.28547630660714,0.652214532106846,2.69854446929838,11.8240407869795,0.00571046347072351,0.81093103884566,0.819347603863108,1.16315145840714,0.0169077689293463
2017,CAG,0.281742876213932,1,0,0,0.0263971574720574,0.430827858530252,0.0199015600858977,0.630274444601938,0.0279166242701063,0.66995793308339,4.93716992643113,1.3848129270265,7.42241149995415,2.8360310839908,20.671742461916,0.188842702495618,22.9335624281641,0.764092461161422,0.0461937632208625,0.0450850968702421,0.054428744082643,6.95087855698799,0.0210471288772309
2018,CAG,0.328302343558846,1,1,0,0.0271693338225513,0.434819849697315,0.0208920264075513,0.718835548441377,0.0284592921655808,3.30023053383363,4.90128415160815,1.64229081700737,9.39146885240384,6.81410536402312,20.5970045931713,0.207762493902488,33.3125324446812,0.809738236440004,0.0480475452583284,0.0391907825473685,0.0453264380408453,8.78064618652507,0.0218839478121477
2019,CAG,0.348928335315302,1,0,0,0.0343885175189216,0.457271989273132,0.0271118396331454,1.03706705864085,0.035796615994636,-5.45657835191812,4.88157369729221,2.39869399732855,11.115889775011,1.36225646829202,23.3737161235339,0.191248840516866,117.717063157587,0.888397441228167,0.0592904010504595,0.0350133207539274,0.0393360779109781,10.6717064077073,0.0282219817042667
2020,CAG,0.38345637933348,1,0,0,0.0350892223778911,0.37325952317054,0.0299572350114955,0.990089248258644,0.0364961347365609,0.571777244485507,4.85092319854638,,11.4728129643687,1.89748976245617,21.1551579479579,0.197247971350038,191.515904914226,0.780618473807154,0.0802584613435523,0.0341481865151414,0.0385496263871583,11.7251117686828,0.0311583788759946
2021,CAG,0.436138133233889,1,0,0,0.0401606323981899,0.345248130692206,0.0343429706956484,1.15697240865026,0.041937782322403,1.00904593639576,4.80683092761348,,13.1073825503356,3.25037285607755,13.7552786431291,0.218065265880677,225.789772727273,0.804132879148705,0.0994732994695507,0.0349096853746595,0.0423758679119218,12.743674472538,0.0358626830140175
2017,CAN,0.260822775608397,1,0,0,0.0352352698608949,1.8762226700732,0.0230598805188636,0.0705495248750623,0.0684747240944819,0.351038296608116,4.63937779725944,0.955990509216254,0.729113124149582,0.491035166161547,3.90300289749055,0.03853872681371,8.91596736278335,7.40858305805613,0.0122905883649534,0.470448765537344,0.485426625271581,1.5047183911628,0.0448135905419399
2018,CAN,0.213465957384485,0,0,1,0.000943866424209941,2.06154083106224,-0.0104729314841624,-0.00659388933144167,0.00195503225319615,-0.299372333594389,4.62155294394954,-0.687088549888568,0.206889707524775,0.0633931117268178,2.42216414994761,0.0349354114355131,8.86408764513624,8.66957245792629,-0.00508014749276933,0.48948482569606,0.51721184002623,1.48215748014126,-0.0216926021647495
2019,CAN,0.233097437104098,0,0,1,0.0747871341807881,2.14618450867829,0.054555180746826,0.097997951188528,0.175759320777824,0.0321324689398539,4.57714381335088,0.766490730262523,0.327654825614229,0.0807576691002261,2.44214513191802,0.064075586010551,8.91382181301576,11.234296296596,0.0254196135170239,0.55503874730144,0.57449121986921,1.40396808518576,0.128211645198149
2020,CAN,0.175685992374406,1,0,1,0.0819544168780739,2.12655698161564,0.0532101217603776,0.0885193717076308,0.226613451269821,0.00407864825624311,4.61416772795807,0.740567055293456,0.333649159281049,0.0518446016946711,2.42207195090326,0.0910713812927081,5.41530307949007,13.3446298657301,0.0250217239511502,0.623891569118218,0.638351490527835,1.3206578099889,0.147132147283115
2021,CAN,0.194385597954824,0,0,1,0.104072793364719,2.04444384741068,0.069126329535389,0.127894481713621,0.316986082399777,-0.00660535897675287,4.66598414428507,0.846948314912209,0.40175457032349,0.0393490191558673,2.57828055672584,0.109877939118852,7.78572820318858,14.4489649175613,0.0338118014945427,0.658729913284721,0.671680243571502,1.28173220159911,0.21054575054317
2017,CAV,0.122564106789283,1,0,1,0.171776639265035,2.65025813151279,0.126605037761927,0.264433136293824,0.436082130093065,0.0062366499744206,5.67501053941483,1.13615588117885,0.744950425665754,0.079466327505692,8.09163647733408,0.103118427132798,14.4043228340796,13.1278371288752,0.0477708326809887,0.560896425790046,0.606091083740633,1.17332136328201,0.321406885033709
2018,CAV,0.194325780963696,1,1,0,0.179285447971831,2.65079916918007,0.128769082906732,0.302537748607651,0.420141966755929,0.047216908673918,5.74051963993555,1.08578104633325,0.897567522705131,0.124512516957741,8.94005325969179,0.0965919420529384,12.2704180573217,14.4301901965515,0.0485774570944062,0.512482609123993,0.573274125990888,1.31483673921901,0.301760663577627
2019,CAV,0.175896320540572,0,0,1,0.187437751793443,2.39534442268481,0.130975443634292,0.314650976090092,0.460491545832649,-0.035086601252796,5.92278702432944,0.949461715704152,0.716608108592517,0.0663519108574246,6.20094032878964,0.127689204975453,16.5877131604716,10.2873864499502,0.0546791694730432,0.496981328025548,0.592961578796148,1.37106853076866,0.321776610785096
